"Facility ID","Facility Name","Address","City","State","ZIP Code","County Name","HBIPS-2 Measure Description","HBIPS-2 Overall Rate Per 1000","HBIPS-2 Overall Num","HBIPS-2 Overall Den","HBIPS-2 Overall Footnote","HBIPS-3 Measure Description","HBIPS-3 Overall Rate Per 1000","HBIPS-3 Overall Num","HBIPS-3 Overall Den","HBIPS-3 Overall Footnote","HBIPS-5 Measure Description","HBIPS-5 %","HBIPS-5 Denominator","HBIPS-5 Footnote","SMD Measure Description","SMD %","SMD Denominator","SMD Footnote","SUB-2/-2a Measure Description","SUB-2 %","SUB-2 Denominator","SUB-2 Footnote","SUB-2a %","SUB-2a Denominator","SUB-2a Footnote","SUB-3/-3a Measure Description","SUB-3 %","SUB-3 Denominator","SUB-3 Footnote","SUB-3a %","SUB-3a Denominator","SUB-3a Footnote","TOB-2/-2a Measure_Desc","TOB-2 %","TOB-2 Denominator","TOB-2 Footnote","TOB-2a %","TOB-2a Denominator","TOB-2a Footnote","TOB-3/-3a Measure Description","TOB-3 %","TOB-3 Denominator","TOB-3 Footnote","TOB-3a %","TOB-3a Denominator","TOB-3a Footnote","TR-1 Measure Description","TR-1 %","TR-1 Denominator","TR-1 Footnote","TR-2 Measure Description","TR-2 %","TR-2 Denominator","TR-2 Footnote","Start Date","End Date","FUH Measure Description","FUH-30 %","FUH-30 Denominator","FUH-30 Footnote","FUH-7 %","FUH-7 Denominator","FUH-7 Footnote","FUH Measure Start Date","FUH Measure End Date","MedCont Measure Desc","MedCont %","MedCont Denominator","MedCont Footnote","MedCont Measure Start Date","MedCont Measure End Date","READM-30-IPF Measure Desc","READM-30-IPF Category","READM-30-IPF Denominator","READM-30-IPF Rate","READM-30-IPF Lower Estimate","READM-30-IPF Higher Estimate","READM-30-IPF Footnote","READM-30-IPF Start Date","READM-30-IPF End Date","IMM-2 Measure Description","IMM-2 %","IMM-2 Denominator","IMM-2 Footnote","Flu Season Start Date","Flu Season End Date","IPFQR-HCP COVID-19 Measure Description","IPFQR-HCP COVID-19 %","IPFQR-HCP COVID-19 Denominator","IPFQR-HCP COVID-19 Footnote","IPFQR-HCP COVID-19 Start Date","IPFQR-HCP COVID-19 End Date"
010007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,Hours of physical-restraint use,0.00,0,2448,,Hours of seclusion use,0.00,0,2448,,Patients discharged on multiple antipsychotic medications with appropriate justification,100.00,20,,Screening for metabolic disorders (SMD),100,160,,Alcohol use brief intervention provided or offered,Not Available,Not Available,1,Not Available,Not Available,1,Alcohol and other drug use disorder treatment provided or offered at discharge,100,150,,7,150,,Tobacco use treatment provided or offered,100,37,,73,37,,Tobacco use treatment provided or offered at discharge,100,14,,71,14,,Transition record with specified elements received by discharged patients (TR1),100,160,,Timely transmission of transition record (TR2),100,160,,01/01/2020,12/31/2020,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,Not Available,Not Available,1,Not Available,Not Available,1,07/01/2019,12/01/2019,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2018,12/01/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,181,17.8,13.9,22.8,,07/01/2018,12/01/2019,Influenza immunization (IPFQR-IMM-2),100,160,,10/01/2020,03/31/2021,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),59.8,32,,10/01/2021,12/31/2021
010008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,Hours of physical-restraint use,0.04,3.7,4252,,Hours of seclusion use,0.16,16.16,4252,,Patients discharged on multiple antipsychotic medications with appropriate justification,100.00,181,,Screening for metabolic disorders (SMD),100,430,,Alcohol use brief intervention provided or offered,21,107,,11,107,,Alcohol and other drug use disorder treatment provided or offered at discharge,3,436,,2,436,,Tobacco use treatment provided or offered,95,367,,0,367,,Tobacco use treatment provided or offered at discharge,87,341,,2,341,,Transition record with specified elements received by discharged patients (TR1),100,477,,Timely transmission of transition record (TR2),100,477,,01/01/2020,12/31/2020,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,42.1,19,,5.3,19,,07/01/2019,12/01/2019,Medication Continuation Following Inpatient Psychiatric Discharge,82.1,78,,07/01/2018,12/01/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,113,21.5,16.7,27.3,,07/01/2018,12/01/2019,Influenza immunization (IPFQR-IMM-2),93,250,,10/01/2020,03/31/2021,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),53.2,180,,10/01/2021,12/31/2021
010011,ST. VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,Hours of physical-restraint use,0.38,250.9,27625,,Hours of seclusion use,0.12,79.8,27625,,Patients discharged on multiple antipsychotic medications with appropriate justification,0.00,22,,Screening for metabolic disorders (SMD),5,180,,Alcohol use brief intervention provided or offered,28,29,,21,29,,Alcohol and other drug use disorder treatment provided or offered at discharge,15,27,,0,27,,Tobacco use treatment provided or offered,2,60,,0,60,,Tobacco use treatment provided or offered at discharge,3,38,,0,38,,Transition record with specified elements received by discharged patients (TR1),63,284,,Timely transmission of transition record (TR2),63,284,,01/01/2020,12/31/2020,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,39.2,74,,20.3,74,,07/01/2019,12/01/2019,Medication Continuation Following Inpatient Psychiatric Discharge,74.9,211,,07/01/2018,12/01/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,424,20.3,17.3,23.7,,07/01/2018,12/01/2019,Influenza immunization (IPFQR-IMM-2),75,135,,10/01/2020,03/31/2021,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),87.5,18,,10/01/2021,12/31/2021
010012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,Hours of physical-restraint use,0.00,0,4467,,Hours of seclusion use,0.00,0,4467,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,1,Screening for metabolic disorders (SMD),100,171,,Alcohol use brief intervention provided or offered,Not Available,Not Available,7,Not Available,Not Available,7,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,1,Not Available,Not Available,1,Tobacco use treatment provided or offered,100,20,,95,20,,Tobacco use treatment provided or offered at discharge,Not Available,Not Available,1,Not Available,Not Available,1,Transition record with specified elements received by discharged patients (TR1),99,215,,Timely transmission of transition record (TR2),99,215,,01/01/2020,12/31/2020,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,Not Available,Not Available,1,Not Available,Not Available,1,07/01/2019,12/01/2019,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2018,12/01/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,213,20.1,15.7,25.1,,07/01/2018,12/01/2019,Influenza immunization (IPFQR-IMM-2),97,67,,10/01/2020,03/31/2021,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),50.7,36,,10/01/2021,12/31/2021
010016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,Hours of physical-restraint use,0.00,0,8399,,Hours of seclusion use,0.00,0,8399,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,1,Screening for metabolic disorders (SMD),95,220,,Alcohol use brief intervention provided or offered,90,29,,90,29,,Alcohol and other drug use disorder treatment provided or offered at discharge,95,58,,95,58,,Tobacco use treatment provided or offered,84,91,,66,91,,Tobacco use treatment provided or offered at discharge,61,71,,61,71,,Transition record with specified elements received by discharged patients (TR1),78,286,,Timely transmission of transition record (TR2),78,286,,01/01/2020,12/31/2020,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,39.4,33,,15.2,33,,07/01/2019,12/01/2019,Medication Continuation Following Inpatient Psychiatric Discharge,72.5,80,,07/01/2018,12/01/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,189,18.5,14.3,23.2,,07/01/2018,12/01/2019,Influenza immunization (IPFQR-IMM-2),100,283,,10/01/2020,03/31/2021,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),56.7,570,,10/01/2021,12/31/2021
010021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,36360,DALE,Hours of physical-restraint use,0.00,0,1430,,Hours of seclusion use,0.00,0,1430,,Patients discharged on multiple antipsychotic medications with appropriate justification,100.00,16,,Screening for metabolic disorders (SMD),100,16,,Alcohol use brief intervention provided or offered,7,15,,7,15,,Alcohol and other drug use disorder treatment provided or offered at discharge,0,15,,0,15,,Tobacco use treatment provided or offered,91,43,,9,43,,Tobacco use treatment provided or offered at discharge,88,43,,0,43,,Transition record with specified elements received by discharged patients (TR1),100,106,,Timely transmission of transition record (TR2),100,106,,01/01/2020,12/31/2020,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,42.9,14,,7.1,14,,07/01/2019,12/01/2019,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2018,12/01/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,103,18.7,13.9,25.0,,07/01/2018,12/01/2019,Influenza immunization (IPFQR-IMM-2),100,59,,10/01/2020,03/31/2021,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),75.2,43,,10/01/2021,12/31/2021
010023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,MONTGOMERY,Hours of physical-restraint use,0.04,11.95,12003,,Hours of seclusion use,0.38,108.82,12003,,Patients discharged on multiple antipsychotic medications with appropriate justification,86.00,28,,Screening for metabolic disorders (SMD),72,359,,Alcohol use brief intervention provided or offered,57,117,,53,117,,Alcohol and other drug use disorder treatment provided or offered at discharge,36,210,,30,210,,Tobacco use treatment provided or offered,74,285,,66,285,,Tobacco use treatment provided or offered at discharge,12,252,,3,252,,Transition record with specified elements received by discharged patients (TR1),50,649,,Timely transmission of transition record (TR2),41,649,,01/01/2020,12/31/2020,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,38.4,73,,23.3,73,,07/01/2019,12/01/2019,Medication Continuation Following Inpatient Psychiatric Discharge,68.8,205,,07/01/2018,12/01/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,295,19.3,15.9,23.4,,07/01/2018,12/01/2019,Influenza immunization (IPFQR-IMM-2),85,317,,10/01/2020,03/31/2021,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),52.1,2935,,10/01/2021,12/31/2021
010033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,Hours of physical-restraint use,0.00,0.71,32563,,Hours of seclusion use,0.01,4.46,32563,,Patients discharged on multiple antipsychotic medications with appropriate justification,100.00,18,,Screening for metabolic disorders (SMD),85,275,,Alcohol use brief intervention provided or offered,100,304,,99,304,,Alcohol and other drug use disorder treatment provided or offered at discharge,99,261,,98,261,,Tobacco use treatment provided or offered,82,266,,3,266,,Tobacco use treatment provided or offered at discharge,83,231,,0,231,,Transition record with specified elements received by discharged patients (TR1),94,712,,Timely transmission of transition record (TR2),62,712,,01/01/2020,12/31/2020,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,41.5,41,,22,41,,07/01/2019,12/01/2019,Medication Continuation Following Inpatient Psychiatric Discharge,56.1,107,,07/01/2018,12/01/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,245,17.1,13.6,21.5,,07/01/2018,12/01/2019,Influenza immunization (IPFQR-IMM-2),64,351,,10/01/2020,03/31/2021,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),74.3,15179,,10/01/2021,12/31/2021
010034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,TALLASSEE,AL,36078,ELMORE,Hours of physical-restraint use,0.00,0,898,,Hours of seclusion use,0.00,0,898,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,7,Screening for metabolic disorders (SMD),100,33,,Alcohol use brief intervention provided or offered,Not Available,Not Available,7,Not Available,Not Available,7,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,7,Not Available,Not Available,7,Tobacco use treatment provided or offered,Not Available,Not Available,1,Not Available,Not Available,1,Tobacco use treatment provided or offered at discharge,Not Available,Not Available,1,Not Available,Not Available,1,Transition record with specified elements received by discharged patients (TR1),77,44,,Timely transmission of transition record (TR2),77,44,,01/01/2020,12/31/2020,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,Not Available,Not Available,1,Not Available,Not Available,1,07/01/2019,12/01/2019,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2018,12/01/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,74,18.4,13.2,25.2,,07/01/2018,12/01/2019,Influenza immunization (IPFQR-IMM-2),79,19,,10/01/2020,03/31/2021,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),55.7,29,,10/01/2021,12/31/2021
010039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,MADISON,Hours of physical-restraint use,0.00,0,8268,,Hours of seclusion use,0.00,0,8268,,Patients discharged on multiple antipsychotic medications with appropriate justification,69.00,55,,Screening for metabolic disorders (SMD),89,310,,Alcohol use brief intervention provided or offered,99,88,,85,88,,Alcohol and other drug use disorder treatment provided or offered at discharge,24,144,,22,144,,Tobacco use treatment provided or offered,95,292,,38,292,,Tobacco use treatment provided or offered at discharge,22,259,,0,259,,Transition record with specified elements received by discharged patients (TR1),81,629,,Timely transmission of transition record (TR2),81,629,,01/01/2020,12/31/2020,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,39.6,53,,17,53,,07/01/2019,12/01/2019,Medication Continuation Following Inpatient Psychiatric Discharge,69.7,155,,07/01/2018,12/01/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,347,22.2,18.6,26.6,,07/01/2018,12/01/2019,Influenza immunization (IPFQR-IMM-2),90,300,,10/01/2020,03/31/2021,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),70.6,10338,,10/01/2021,12/31/2021
