,Facility ID,Facility Name,City,State,ZIP Code,HBIPS-5 %,SMD %,SUB-2 %,SUB-3 %,TOB-2 %,TOB-3 %,TR-2 %,FUH-30 %,FUH-7 %,MedCont %,READM-30-IPF Rate,HBIPS-2 %,HBIPS-3 %,lat,lon
0,10007,MIZELL MEMORIAL HOSPITAL,OPP,AL,36467,100.0,100.0,96.0,100.0,100.0,100.0,100.0,60.22,36.17,79.35,17.8,0.0,0.0,31.260401,-86.356208
1,10008,CRENSHAW COMMUNITY HOSPITAL,LUVERNE,AL,36049,100.0,100.0,21.0,3.0,95.0,87.0,100.0,42.1,5.3,82.1,21.5,0.09,0.38,31.754655,-86.291595
2,10011,ST. VINCENT'S EAST,BIRMINGHAM,AL,35235,0.0,5.0,28.0,15.0,2.0,3.0,63.0,39.2,20.3,74.9,20.3,0.91,0.29,33.632816,-86.649293
3,10012,DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,AL,35968,88.6,100.0,0.0,92.83,100.0,86.46,99.0,47.87,25.2,72.92,20.1,0.0,0.0,34.507242,-85.797851
4,10016,SHELBY BAPTIST MEDICAL CENTER,ALABASTER,AL,35007,52.81,95.0,90.0,95.0,84.0,61.0,78.0,39.4,15.2,72.5,18.5,0.0,0.0,33.193415,-86.794377
5,10021,DALE MEDICAL CENTER,OZARK,AL,36360,100.0,100.0,7.0,0.0,91.0,88.0,100.0,42.9,7.1,78.77,18.7,0.0,0.0,31.450171,-85.65182
6,10023,BAPTIST MEDICAL CENTER SOUTH,MONTGOMERY,AL,36116,86.0,72.0,57.0,36.0,74.0,12.0,41.0,38.4,23.3,68.8,19.3,0.1,0.91,32.285501,-86.228765
7,10033,UNIVERSITY OF ALABAMA HOSPITAL,BIRMINGHAM,AL,35233,100.0,85.0,100.0,99.0,82.0,83.0,62.0,41.5,22.0,56.1,17.1,0.0,0.01,33.508205,-86.802339
8,10034,COMMUNITY HOSPITAL INC,TALLASSEE,AL,36078,0.0,100.0,0.0,0.0,95.28,47.09,77.0,59.11,35.19,71.64,18.4,0.0,0.0,32.594995,-85.985078
9,10039,HUNTSVILLE HOSPITAL,HUNTSVILLE,AL,35801,69.0,89.0,99.0,24.0,95.0,22.0,81.0,39.6,17.0,69.7,22.2,0.0,0.0,34.718428,-86.556439
10,10040,GADSDEN REGIONAL MEDICAL CENTER,GADSDEN,AL,35903,85.39,96.0,70.35,63.01,76.79,82.93,0.0,45.42,23.02,72.26,20.6,0.0,0.0,33.984547,-85.907668
11,10046,RIVERVIEW REGIONAL MEDICAL CENTER,GADSDEN,AL,35901,45.7,99.0,0.0,0.0,93.62,0.0,97.0,46.61,24.07,70.1,20.1,0.0,0.0,34.024285,-86.074145
12,10062,WIREGRASS MEDICAL CENTER,GENEVA,AL,36340,49.15,0.0,93.7,0.0,83.0,8.0,93.0,54.5,18.2,71.43,22.1,0.0,0.0,31.053473,-85.784393
13,10069,MEDICAL CENTER BARBOUR,EUFAULA,AL,36027,100.0,100.0,65.25,90.16,89.0,89.0,100.0,42.44,20.37,72.26,21.6,0.0,0.0,31.914745,-85.389969
14,10078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,ANNISTON,AL,36207,37.09,98.0,54.0,58.0,77.0,96.0,48.0,33.3,6.7,79.21,18.2,0.0,0.0,33.720373,-85.753344
15,10085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,DECATUR,AL,35601,30.0,53.0,54.0,14.0,69.0,45.0,28.0,40.0,30.0,82.3,21.4,0.11,0.1,34.549833,-86.995551
16,10086,NORTHWEST MEDICAL CENTER,WINFIELD,AL,35594,73.0,100.0,67.72,75.0,100.0,96.0,100.0,45.0,22.65,71.67,17.5,0.0,0.0,34.062,-87.814078
17,10089,WALKER BAPTIST MEDICAL CENTER,JASPER,AL,35502,79.0,97.0,100.0,97.0,97.0,99.0,96.0,24.5,11.3,77.2,19.9,0.0,0.0,33.901993,-87.293888
18,10091,GROVE HILL MEMORIAL HOSPITAL,GROVE HILL,AL,36451,44.51,98.0,59.08,57.08,42.0,39.27,0.0,46.59,24.06,73.58,18.2,0.0,0.0,31.704953,-87.801307
19,10092,DCH REGIONAL MEDICAL CENTER,TUSCALOOSA,AL,35401,59.0,100.0,77.0,100.0,92.0,82.0,60.0,18.8,6.3,64.2,21.5,0.6,0.27,33.241899,-87.597599
20,10103,PRINCETON BAPTIST MEDICAL CENTER,BIRMINGHAM,AL,35211,49.11,53.0,64.4,59.95,71.0,39.0,74.0,25.0,20.0,75.4,21.4,0.0,0.0,33.45717,-86.864909
21,10104,GRANDVIEW MEDICAL CENTER,BIRMINGHAM,AL,35243,87.84,96.0,67.7,49.9,73.11,0.0,66.0,59.96,35.94,78.13,20.6,1.2,0.0,33.445932,-86.750203
22,10110,BULLOCK COUNTY HOSPITAL,UNION SPRINGS,AL,36089,19.0,80.0,89.0,82.0,60.0,70.0,68.0,35.0,25.0,78.13,18.3,0.0,1.24,32.142191,-85.742406
23,10112,WHITFIELD REGIONAL HOSPITAL,DEMOPOLIS,AL,36732,100.0,100.0,100.0,100.0,100.0,93.0,100.0,23.5,5.9,76.1,20.1,1.53,4.1,32.384949,-87.824556
24,10113,MOBILE INFIRMARY MEDICAL CENTER,MOBILE,AL,36607,47.0,90.0,46.0,70.0,27.0,18.0,0.0,45.5,36.4,75.94,18.3,0.14,0.0,30.788123,-88.088073
25,10114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",BESSEMER,AL,35021,23.0,62.0,31.0,56.0,50.0,29.0,21.0,45.46,23.05,76.75,19.0,1.86,0.0,33.544622,-86.929208
26,10125,LAKELAND COMMUNITY HOSPITAL,HALEYVILLE,AL,35565,45.82,92.0,95.46,56.09,89.0,73.0,92.0,49.13,26.31,71.23,19.4,0.0,0.0,34.179569,-87.505293
27,10126,TROY REGIONAL MEDICAL CENTER,TROY,AL,36081,7.0,97.0,12.0,25.0,66.0,44.0,87.0,33.3,12.5,70.68,25.0,0.0,0.0,31.869128,-85.966268
28,10129,NORTH BALDWIN INFIRMARY,BAY MINETTE,AL,36507,56.46,95.0,7.0,29.0,56.0,9.0,77.0,33.3,22.2,78.2,21.2,0.0,0.0,30.763492,-87.756371
29,10139,BROOKWOOD BAPTIST MEDICAL CENTER,BIRMINGHAM,AL,35209,51.0,73.0,94.0,91.0,71.0,10.0,29.0,32.6,15.9,68.5,18.0,0.82,0.0,33.465336,-86.808213
30,10150,THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL,GREENVILLE,AL,36037,66.59,99.0,100.0,100.0,100.0,100.0,100.0,52.62,29.42,69.47,19.8,0.0,0.0,31.796729,-86.596233
31,10157,SHOALS HOSPITAL,MUSCLE SHOALS,AL,35661,33.0,90.0,0.0,50.0,7.0,13.0,43.0,41.2,23.5,76.19,19.1,0.0,0.0,34.758537,-87.70004
32,10164,COOSA VALLEY MEDICAL CENTER,SYLACAUGA,AL,35150,81.82,24.0,69.0,45.0,67.0,6.0,28.0,57.88,34.09,76.06,19.9,0.0,0.0,33.316003,-86.228703
33,14000,HILL CREST BEHAVIORAL HEALTH SERVICES,BIRMINGHAM,AL,35212,100.0,99.0,100.0,99.0,100.0,99.0,94.0,57.88,34.09,75.41,22.01,0.07,0.0,33.547803,-86.749538
34,14006,MOUNTAIN VIEW HOSPITAL,GADSDEN,AL,35902,0.0,55.0,0.0,0.0,0.0,0.0,100.0,53.97,30.62,69.47,20.5,0.16,0.0,33.984062,-85.803434
35,14007,BRYCE HOSPITAL,TUSCALOOSA,AL,35401,100.0,100.0,65.34,0.0,74.89,43.06,0.0,53.66,30.34,79.36,19.74,0.52,0.08,33.241899,-87.597599
36,14012,MARY S HARPER GERIATRIC PSYCHIATRY CENTER,TUSCALOOSA,AL,35401,86.0,94.0,0.0,0.0,77.0,54.0,79.0,27.3,18.2,73.55,20.8,0.0,0.05,33.241899,-87.597599
37,14014,BAYPOINTE BEHAVIORAL HEALTH,MOBILE,AL,36693,97.0,38.0,72.96,59.93,1.0,3.0,95.0,55.23,31.74,74.56,21.81,0.33,0.31,30.635741,-88.174502
38,14015,BEACON CHILDREN'S HOSPITAL,LUVERNE,AL,36049,81.83,100.0,0.0,0.0,68.66,29.79,1.0,44.61,22.3,68.86,19.29,0.16,0.18,31.754655,-86.291595
39,14016,"SANCTUARY AT THE WOODLANDS, THE",CULLMAN,AL,35055,70.49,100.0,80.22,92.2,100.0,92.0,98.0,50.0,27.8,79.3,19.8,0.0,0.0,34.111067,-86.853185
40,14017,EASTPOINTE HOSPITAL,DAPHNE,AL,36526,93.0,77.0,1.0,0.0,1.0,0.0,93.0,48.0,12.0,71.53,16.4,0.06,2.54,30.540328,-87.6912
41,14018,UNITY PSYCHIATRIC CARE - HUNTSVILLE,HUNTSVILLE,AL,35806,69.59,93.0,91.14,0.0,72.49,37.96,90.0,43.56,21.37,78.08,22.6,0.0,0.0,34.76184,-86.686994
42,20008,BARTLETT REGIONAL HOSPITAL,JUNEAU,AK,99801,83.0,92.0,100.0,70.0,88.0,82.0,54.0,32.0,16.0,73.41,19.2,0.01,3.97,58.373561,-134.523946
