"Column1","Facility Name","City","State","ZIP Code","HBIPS-5 %","SMD %","SUB-2 %","SUB-3 %","TOB-2 %","TOB-3 %","TR-2 %","FUH-30 %","FUH-7 %","MedCont %","READM-30-IPF Rate","HBIPS-2 %","HBIPS-3 %","code","city","state","county","area_code","lat","lon"
0,MIZELL MEMORIAL HOSPITAL,OPP,AL,36467,100.0,100.0,38.0,100.0,100.0,100.0,100.0,64.0,24.0,72.0,17.8,0.0,0.0,36467,Opp,AL,COVINGTON,"",31.260401,-86.356208
1,CRENSHAW COMMUNITY HOSPITAL,LUVERNE,AL,36049,100.0,100.0,21.0,3.0,95.0,87.0,100.0,42.1,5.3,82.1,21.5,0.09,0.38,36049,Luverne,AL,CRENSHAW,"",31.754655,-86.291595
2,ST. VINCENT'S EAST,BIRMINGHAM,AL,35235,0.0,5.0,28.0,15.0,2.0,3.0,63.0,39.2,20.3,74.9,20.3,0.91,0.29,35235,Birmingham,AL,JEFFERSON,"",33.632816,-86.649293
3,DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,AL,35968,76.0,100.0,0.0,36.0,100.0,47.0,99.0,62.0,25.0,67.0,20.1,0.0,0.0,35968,Fort Payne,AL,DE KALB,"",34.507242,-85.797851
4,SHELBY BAPTIST MEDICAL CENTER,ALABASTER,AL,35007,34.0,95.0,90.0,95.0,84.0,61.0,78.0,39.4,15.2,72.5,18.5,0.0,0.0,35007,Alabaster,AL,SHELBY,"",33.193415,-86.794377
5,DALE MEDICAL CENTER,OZARK,AL,36360,100.0,100.0,7.0,0.0,91.0,88.0,100.0,42.9,7.1,78.0,18.7,0.0,0.0,36360,Ozark,AL,DALE,"",31.450171,-85.65182
6,BAPTIST MEDICAL CENTER SOUTH,MONTGOMERY,AL,36116,86.0,72.0,57.0,36.0,74.0,12.0,41.0,38.4,23.3,68.8,19.3,0.1,0.91,36116,Montgomery,AL,MONTGOMERY,"",32.285501,-86.228765
7,UNIVERSITY OF ALABAMA HOSPITAL,BIRMINGHAM,AL,35233,100.0,85.0,100.0,99.0,82.0,83.0,62.0,41.5,22.0,56.1,17.1,0.0,0.01,35233,Birmingham,AL,JEFFERSON,"",33.508205,-86.802339
8,COMMUNITY HOSPITAL INC,TALLASSEE,AL,36078,0.0,100.0,0.0,0.0,79.0,19.0,77.0,56.0,19.0,76.0,18.4,0.0,0.0,36078,Tallassee,AL,ELMORE,"",32.594995,-85.985078
9,HUNTSVILLE HOSPITAL,HUNTSVILLE,AL,35801,69.0,89.0,99.0,24.0,95.0,22.0,81.0,39.6,17.0,69.7,22.2,0.0,0.0,35801,Huntsville,AL,MADISON,"",34.718428,-86.556439
10,GADSDEN REGIONAL MEDICAL CENTER,GADSDEN,AL,35903,47.0,96.0,55.0,96.0,102.0,61.0,0.0,38.0,39.0,75.0,20.6,0.0,0.0,35903,Gadsden,AL,ETOWAH,"",33.984547,-85.907668
11,RIVERVIEW REGIONAL MEDICAL CENTER,GADSDEN,AL,35901,75.0,99.0,0.0,0.0,62.0,0.0,97.0,34.0,37.0,66.0,20.1,0.0,0.0,35901,Gadsden,AL,ETOWAH,"",34.024285,-86.074145
