,Facility ID,Facility Name,Hospital overall rating
0,010001,SOUTHEAST HEALTH MEDICAL CENTER,3
1,010005,MARSHALL MEDICAL CENTERS,3
2,010006,NORTH ALABAMA MEDICAL CENTER,2
3,010007,MIZELL MEMORIAL HOSPITAL,3
4,010008,CRENSHAW COMMUNITY HOSPITAL,-1
5,010011,ST. VINCENT'S EAST,2
6,010012,DEKALB REGIONAL MEDICAL CENTER,3
7,010016,SHELBY BAPTIST MEDICAL CENTER,4
8,010018,CALLAHAN EYE HOSPITAL,-1
9,010019,HELEN KELLER HOSPITAL,3
10,010021,DALE MEDICAL CENTER,4
11,010022,CHEROKEE MEDICAL CENTER,-1
12,010023,BAPTIST MEDICAL CENTER SOUTH,2
13,010024,JACKSON HOSPITAL & CLINIC INC,2
14,010029,THE EAST ALABAMA HEALTHCARE AUTHORITY,2
15,010033,UNIVERSITY OF ALABAMA HOSPITAL,2
16,010034,COMMUNITY HOSPITAL INC,4
17,010035,CULLMAN REGIONAL MEDICAL CENTER,2
18,010036,ANDALUSIA HEALTH,3
19,010038,STRINGFELLOW CAMPUS OF NORTHEAST RMC,4
20,010039,HUNTSVILLE HOSPITAL,2
21,010040,GADSDEN REGIONAL MEDICAL CENTER,2
22,010044,MARION REGIONAL MEDICAL CENTER,-1
23,010045,FAYETTE MEDICAL CENTER,3
24,010046,RIVERVIEW REGIONAL MEDICAL CENTER,3
25,010049,MEDICAL CENTER ENTERPRISE,3
26,010051,GREENE COUNTY HOSPITAL,-1
27,010052,LAKE MARTIN COMMUNITY HOSPITAL,-1
28,010055,FLOWERS HOSPITAL,2
29,010056,ST VINCENT'S BIRMINGHAM,4
30,010058,BIBB MEDICAL CENTER,-1
31,010059,LAWRENCE MEDICAL CENTER,4
32,010061,HIGHLANDS MEDICAL CENTER,4
33,010062,WIREGRASS MEDICAL CENTER,4
34,010065,RUSSELL MEDICAL CENTER,5
35,010069,MEDICAL CENTER BARBOUR,2
36,010073,CLAY COUNTY HOSPITAL,4
37,010078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,2
38,010079,ATHENS LIMESTONE HOSPITAL,3
39,010083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,4
40,010085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,2
41,010086,NORTHWEST MEDICAL CENTER,3
42,010087,USA HEALTH UNIVERSITY HOSPITAL,3
43,010089,WALKER BAPTIST MEDICAL CENTER,3
44,010090,PROVIDENCE HOSPITAL,3
45,010091,GROVE HILL MEMORIAL HOSPITAL,-1
46,010092,DCH REGIONAL MEDICAL CENTER,2
47,010095,HALE COUNTY HOSPITAL,-1
48,010097,ELMORE COMMUNITY HOSPITAL,-1
49,010099,D W MCMILLAN MEMORIAL HOSPITAL,3
50,010100,THOMAS HOSPITAL,3
51,010101,CITIZENS BAPTIST MEDICAL CENTER,4
52,010102,J PAUL JONES HOSPITAL,-1
53,010103,PRINCETON BAPTIST MEDICAL CENTER,3
54,010104,GRANDVIEW MEDICAL CENTER,3
55,010108,PRATTVILLE BAPTIST HOSPITAL,5
56,010110,BULLOCK COUNTY HOSPITAL,-1
57,010112,WHITFIELD REGIONAL HOSPITAL,2
58,010113,MOBILE INFIRMARY MEDICAL CENTER,2
59,010114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",3
60,010118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,3
61,010120,MONROE COUNTY HOSPITAL,3
62,010125,LAKELAND COMMUNITY HOSPITAL,5
63,010126,TROY REGIONAL MEDICAL CENTER,4
64,010128,JACKSON MEDICAL CENTER,-1
65,010129,NORTH BALDWIN INFIRMARY,3
66,010130,ST VINCENT'S ST CLAIR,3
67,010131,CRESTWOOD MEDICAL CENTER,3
68,010138,HILL HOSPITAL OF SUMTER COUNTY,-1
69,010139,BROOKWOOD BAPTIST MEDICAL CENTER,2
70,010144,SPRINGHILL MEDICAL CENTER,2
71,010148,EVERGREEN MEDICAL CENTER,2
72,010149,BAPTIST MEDICAL CENTER EAST,3
73,010150,THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL,2
74,010157,SHOALS HOSPITAL,3
75,010158,RUSSELLVILLE HOSPITAL,3
76,010164,COOSA VALLEY MEDICAL CENTER,4
77,010168,JACK HUGHSTON MEMORIAL HOSPITAL,4
78,010169,ATMORE COMMUNITY HOSPITAL,4
79,010173,ST VINCENT'S CHILTON,-1
80,010174,THOMASVILLE REGIONAL MEDICAL CENTER,-1
81,010175,EAMC-LANIER,-1
82,011300,WASHINGTON COUNTY HOSPITAL,-1
83,011302,RED BAY HOSPITAL,-1
84,011304,CHOCTAW GENERAL HOSPITAL,-1
85,011305,ST VINCENTS BLOUNT,-1
86,011306,TANNER MEDICAL CENTER-EAST ALABAMA,-1
87,013300,THE CHILDREN'S HOSPITAL OF ALABAMA,-1
88,013301,USA HEALTH CHILDREN'S & WOMEN'S HOSPITAL,-1
89,014000,HILL CREST BEHAVIORAL HEALTH SERVICES,-1
90,014006,MOUNTAIN VIEW HOSPITAL,-1
91,014007,BRYCE HOSPITAL,-1
92,014012,MARY S HARPER GERIATRIC PSYCHIATRY CENTER,-1
